25,,  HTTP/1.1 417 Please provide a valid Token,"Step 60 [CourseRegEligibility] FAILED: took 35 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",CourseRegEligibility,FAILED
26,,  HTTP/1.1 417 Please provide a valid Token,"Step 61 [GetFetchCDL] FAILED: took 52 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",GetFetchCDL,FAILED
27,,  HTTP/1.1 417 Please provide a valid Token,"Step 62 [UnRegCourseSec] FAILED: took 26 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",UnRegCourseSec,FAILED
28,,  HTTP/1.1 417 Please provide a valid Token,"Step 63 [PostdirectcourseReg] FAILED: took 27 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",PostdirectcourseReg,FAILED
29,,  HTTP/1.1 417 Please provide a valid Token,"Step 64 [PutReplaceDefElePoolCourse] FAILED: took 37 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",PutReplaceDefElePoolCourse,FAILED
30,,  HTTP/1.1 417 Please provide a valid Token,"Step 65 [PutAppendDPCourse] FAILED: took 37 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",PutAppendDPCourse,FAILED
,,,Step 66 [OrionMarketingAddDNIS] OK: took 320 ms,OrionMarketingAddDNIS,OK
,,,Step 67 [OrionMarketingUpdateDNIS] OK: took 42 ms,OrionMarketingUpdateDNIS,OK
,,,Step 68 [DocStatusbyDocTypeandCampusID] OK: took 44 ms,DocStatusbyDocTypeandCampusID,OK
,,,Step 69 [PostAddProgramGroupinKCCandOrion] OK: took 31 ms,PostAddProgramGroupinKCCandOrion,OK
,,,Step 70 [PutUpdateProgramGroupKCCandOrion] OK: took 44 ms,PutUpdateProgramGroupKCCandOrion,OK
31,,HTTP/1.1 403 You are not authorized to use this method,"Step 71 [GetDegrees] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetDegrees,FAILED
,,,Step 72 [PostOrionMarketingAddVendor] OK: took 286 ms,PostOrionMarketingAddVendor,OK
,,,Step 73 [PutOrionMarketingUpdateVendors] OK: took 386 ms,PutOrionMarketingUpdateVendors,OK
32,,HTTP/1.1 500 Internal Server Error,"Step 74 [GetDegreeAuditforStudents] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 500 Internal Server Error",GetDegreeAuditforStudents,FAILED
33,,HTTP/1.1 403 You are not authorized to use this method,"Step 75 [PostDegAuditTrsfrCredit] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",PostDegAuditTrsfrCredit,FAILED
,,,Step 76 [PostOrionMarketingAddMarketingChannels] OK: took 267 ms,PostOrionMarketingAddMarketingChannels,OK
,,,Step 77 [PutOrionMarketingUpdateMarketingChannels] OK: took 41 ms,PutOrionMarketingUpdateMarketingChannels,OK
,,,Step 78 [GetCvueStDatebyCampusCode] OK: took 154 ms,GetCvueStDatebyCampusCode,OK
,,,Step 79 [GetPerfomitURLs] OK: took 29 ms,GetPerfomitURLs,OK
,,,Step 80 [PostCreatePerformITurl] OK: took 199 ms,PostCreatePerformITurl,OK
,,,Step 81 [PostAddtoKapDNCtable] OK: took 29 ms,PostAddtoKapDNCtable,OK
,,,Step 82 [PutupdateExpDateinKapDNCtable] OK: took 29 ms,PutupdateExpDateinKapDNCtable,OK
34,,HTTP/1.1 403 You are not authorized to use this method,"Step 83 [GetLeadStatusHistory] FAILED: took 29 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadStatusHistory,FAILED
35,,HTTP/1.1 403 You are not authorized to use this method,"Step 84 [GetLeadAppHistory] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadAppHistory,FAILED
36,,HTTP/1.1 403 You are not authorized to use this method,"Step 85 [GetLeadFileCloseHistory] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadFileCloseHistory,FAILED
37,,HTTP/1.1 403 You are not authorized to use this method,"Step 86 [GetLeadEmailHistory] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadEmailHistory,FAILED
38,,HTTP/1.1 403 You are not authorized to use this method,"Step 87 [GetLeadnotes] FAILED: took 38 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadnotes,FAILED
39,,HTTP/1.1 403 You are not authorized to use this method,"Step 88 [GetLeadTaskHistory] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadTaskHistory,FAILED
40,,HTTP/1.1 403 You are not authorized to use this method,"Step 89 [GetLeadAssignments] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetLeadAssignments,FAILED
,,,Step 90 [PostImportNewLead] OK: took 713 ms,PostImportNewLead,OK
,,,Step 91 [PostLeadTransfer] OK: took 44 ms,PostLeadTransfer,OK
,,,Step 92 [GetLeadImportSIFans] OK: took 642 ms,GetLeadImportSIFans,OK
,,,Step 93 [PostStudentDocTreeforCampus] OK: took 557 ms,PostStudentDocTreeforCampus,OK
,,,Step 94 [GetBinaryFileforDocid] OK: took 115 ms,GetBinaryFileforDocid,OK
,,,Step 95 [PostInsertEnvelopeDoc] OK: took 448 ms,PostInsertEnvelopeDoc,OK
,,,Step 96 [GetCvueCoursesbyCVueCode] OK: took 71 ms,GetCvueCoursesbyCVueCode,OK
41,,HTTP/1.1 403 You are not authorized to use this method,"Step 97 [GetCvueCoursegrpsbyCamid] FAILED: took 25 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetCvueCoursegrpsbyCamid,FAILED
42,,HTTP/1.1 403 You are not authorized to use this method,"Step 98 [GetCVueCoursegrpsbyCampusid] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetCVueCoursegrpsbyCampusid,FAILED
43,,HTTP/1.1 403 You are not authorized to use this method,"Step 99 [GetCVueCoursesbyCampusid] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetCVueCoursesbyCampusid,FAILED
,,,Step 100 [PostAddChannelGrpinOrionMarkt] OK: took 95 ms,PostAddChannelGrpinOrionMarkt,OK
,,,Step 101 [PutUpdateChannelGrpOrionMarkt] OK: took 38 ms,PutUpdateChannelGrpOrionMarkt,OK
,,,Step 102 [PostAddProgEmphasis] OK: took 51 ms,PostAddProgEmphasis,OK
,,,Step 103 [PutUpdateProgEmphasis] OK: took 37 ms,PutUpdateProgEmphasis,OK
44,,HTTP/1.1 403 You are not authorized to use this method,"Step 104 [GetReserveUnameinKUPorta] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetReserveUnameinKUPorta,FAILED
45,,HTTP/1.1 403 You are not authorized to use this method,"Step 105 [GetGenUnameinKUPortal] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetGenUnameinKUPortal,FAILED
46,,HTTP/1.1 403 You are not authorized to use this method,"Step 106 [GetChkreservedUnameinKUPorta] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetChkreservedUnameinKUPorta,FAILED
47,,  HTTP/1.1 417 Please provide a valid Token,"Step 107 [GetDocViewerv1] FAILED: took 37 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",GetDocViewerv1,FAILED
48,,HTTP/1.1 403 You are not authorized to use this method,"Step 108 [GetCVueProgVersionbyDegree] FAILED: took 23 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetCVueProgVersionbyDegree,FAILED
,,,Step 109 [GetAuthtoken1] OK: took 18 ms,GetAuthtoken1,OK
,,,Step 110 [GetAuthToken2] OK: took 18 ms,GetAuthToken2,OK
